ISSUE_ID,Severity,Impact,Category,File,Lines,Exact_Finding,Root_Cause_Summary
1,Critical,data loss,Non-functional,apps/api/src/modules/auth/auth.service.ts,238-241,additionalContext: { passwordResetToken: resetToken passwordResetExpires: expiresAt.toISOString() } as any,Property 'additionalContext' does not exist on User model in Prisma schema. Password reset functionality will fail.
2,Critical,data loss,Non-functional,apps/api/src/modules/auth/auth.service.ts,257-260,additionalContext: { path: ['passwordResetToken'] equals: token },Property 'additionalContext' missing from User schema causes password reset lookup to fail completely.
3,Critical,user-visible failure,Non-functional,apps/api/src/modules/auth/auth.service.ts,306-309,additionalContext: { path: ['emailVerificationToken'] equals: token },Email verification system completely broken due to missing schema field.
4,Critical,user-visible failure,Non-functional,apps/api/src/modules/prompts/prompts.service.ts,674,prisma.userSkills.findUnique({ where: { userId } }),Model 'userSkills' does not exist in Prisma client - should be 'UserSkills'.
5,Critical,user-visible failure,Non-functional,apps/api/src/modules/prompts/prompts.service.ts,1016,orderBy: { timestamp: 'desc' },Property 'timestamp' does not exist on AnalyticsEvent model - should use 'createdAt'.
6,Critical,user-visible failure,Non-functional,apps/api/src/modules/prompts/prompts.service.ts,1023,event.timestamp.toISOString(),Property 'timestamp' does not exist - causes analytics to crash.
7,Critical,user-visible failure,Non-functional,apps/api/src/modules/prompts/prompts.service.ts,1074,orderBy: { timestamp: 'desc' },Consistent timestamp field error breaks user interaction history.
8,Critical,user-visible failure,Non-functional,apps/api/src/modules/users/users.service.ts,730-734,prisma.follow.findUnique({ where: { followerId_followingId: { followerId: requesterId followingId: userId } } }),Model 'follow' does not exist in Prisma schema but Follow model does exist.
9,Critical,user-visible failure,Non-functional,apps/api/src/modules/users/users.service.ts,815,orderBy: { timestamp: 'desc' },Consistent timestamp field error in user activity tracking.
10,Critical,user-visible failure,Non-functional,apps/api/src/modules/users/users.service.ts,823,timestamp: event.timestamp,Multiple timestamp field references break user activity features.
11,Critical,user-visible failure,Non-functional,apps/api/src/modules/users/users.service.ts,892,timestamp: { gte: startDate lte: endDate },Timestamp field errors break all user statistics queries.
12,Critical,user-visible failure,Non-functional,apps/api/src/modules/users/users.service.ts,934-953,prisma.challengeParticipant.count() prisma.challengeSubmission.count(),Models 'challengeParticipant' and 'challengeSubmission' missing from schema.
13,High,user-visible failure,Mocked,packages/llm-client/src/providers/OpenAIProvider.ts,1,// import OpenAI from 'openai'; // Temporarily commented out,OpenAI client import is disabled making LLM functionality non-functional.
14,High,user-visible failure,Mocked,packages/llm-client/src/providers/OpenAIProvider.ts,60,this.client = {} as any; // Temporarily disabled OpenAI client,OpenAI client is mocked as empty object breaking all LLM operations.
15,High,user-visible failure,Non-functional,apps/api/src/app.module.ts,78-90,BullModule.forRootAsync({ redis: { host: configService.get('REDIS_HOST' 'localhost') } }),Redis may not be available in development but module fails if Redis is unreachable.
16,High,user-visible failure,Incomplete,apps/api/src/modules/auth/auth.service.ts,245-248,// ISSUE: TODO comment - email sending not implemented // FIX: Integrate with EmailService,Password reset emails are not actually sent to users.
17,High,security,Architecture,apps/api/src/config/configuration.ts,49,require('crypto').randomBytes(32).toString('hex'),Encryption key generated at runtime in development is insecure and changes on restart.
18,High,security,Minimalized,apps/api/src/modules/auth/auth.service.ts,431-435,async isAccountLocked(userId: string): Promise<boolean> { return false; },Account locking security feature is completely bypassed.
19,High,performance,Non-functional,apps/api/src/modules/prompts/prompts.service.ts,5-6,import { PromptImprovementEngine } from '@prompt-platform/prompt-engine'; import { LLMClientService } from '@llm-client/llm-client.service';,Missing service imports will cause dependency injection failures.
20,Medium,maintainability,Architecture,apps/api/prisma/schema.prisma,469-470,Skill Skill? @relation(fields: [skillId] references: [id]) skillId String?,UserSkills model has unnecessary optional Skill relation creating circular dependency.
21,Medium,maintainability,Minimalized,apps/api/src/modules/coaching/coaching.service.ts,292-301,const responseBuilder = new CoachResponseBuilder(personality); const response = await responseBuilder.setContext(context).analyzePrompt(promptAnalysis),Complex coaching logic hardcoded without proper dependency injection or configuration.
22,Medium,developer-velocity,Incomplete,apps/api/src/modules/auth/dto/index.ts,53-55,// ISSUE: Property initialization required in strict mode // FIX: Add constructor or definite assignment assertion (!),TypeScript strict mode issues with uninitialized properties.
23,Medium,user-visible failure,Non-functional,packages/llm-client/src/providers/BaseProvider.ts,106-150,async checkWithModerationAPI(prompt: string): Promise<SafetyCheck | null>,Safety moderation depends on external OpenAI API but has no fallback if quota exceeded.
24,Medium,performance,Architecture,apps/api/src/modules/prompts/prompts.service.ts,888-909,Multiple separate database queries for prompt statistics,Statistics queries are not optimized and could use transaction or batch operations.
25,Medium,maintainability,Minimalized,apps/api/src/modules/users/users.service.ts,621-879,Multiple private helper methods with complex logic,User service is overly complex with too many responsibilities violating single responsibility principle.
26,Low,maintainability,Architecture,apps/api/src/config/configuration.ts,20-37,(() => { if (!process.env.JWT_SECRET) { throw new Error('JWT_SECRET is required') } return process.env.JWT_SECRET; })(),Configuration logic uses immediately invoked function expressions which are hard to maintain.
27,Low,maintainability,Incomplete,apps/api/src/modules/coaching/coaching.service.ts,474-488,const resources: Resource[] = [ { title: 'Prompt Engineering Guide' type: 'guide' description: 'Comprehensive guide to effective prompting' } ],Resource recommendations are hardcoded without dynamic content management.
