id,file,line_span,language,exact_comment_text,required_change_type
1,".github/workflows/ci-cd.yml",14,yml,"# Test Job",remove_dead_code
2,".github/workflows/ci-cd.yml",101,yml,"# Security Scan",remove_dead_code
3,".github/workflows/ci-cd.yml",129,yml,"# Build and Push Images",remove_dead_code
4,".github/workflows/ci-cd.yml",181,yml,"# Deploy to Staging",remove_dead_code
5,".github/workflows/ci-cd.yml",196,yml,"# Deploy to Production",remove_dead_code
6,".github/workflows/health-check.yml",5,yml,"# Run health check every 15 minutes during business hours (9 AM - 6 PM UTC)",remove_dead_code
7,".github/workflows/ci.yml",264,yml,"# Test basic endpoints",test
8,".github/workflows/ci.yml",268,yml,"# Test with timeout",test
9,".github/workflows/ci.yml",299,yml,"# Add your staging deployment commands here",remove_dead_code
10,".github/workflows/ci.yml",300,yml,"# Example: rsync, scp, docker deploy, etc.",remove_dead_code
11,".github/workflows/ci.yml",321,yml,"# Add your production deployment commands here",remove_dead_code
12,".github/workflows/ci.yml",322,yml,"# Example: docker push, k8s deploy, etc.",remove_dead_code
13,".github/workflows/ci-cd.yml",14,yml,"# Test Job",test
14,".github/workflows/ci-cd.yml",101,yml,"# Security Scan",remove_dead_code
15,".github/workflows/ci-cd.yml",129,yml,"# Build and Push Images",remove_dead_code
16,".github/workflows/ci-cd.yml",181,yml,"# Deploy to Staging",remove_dead_code
17,".github/workflows/ci-cd.yml",192,yml,"# Add your deployment commands here",remove_dead_code
18,".github/workflows/ci-cd.yml",193,yml,"# This could involve updating Kubernetes manifests,",remove_dead_code
19,".github/workflows/ci-cd.yml",194,yml,"# calling deployment APIs, or running deployment scripts",remove_dead_code
20,".github/workflows/ci-cd.yml",196,yml,"# Deploy to Production",remove_dead_code
21,".github/workflows/ci-cd.yml",207,yml,"# Add your production deployment commands here",remove_dead_code
22,".github/workflows/ci-cd.yml",208,yml,"# Include health checks, rollback procedures, etc.",remove_dead_code
23,".github/workflows/ci-cd.yml",213,yml,"# Add health check commands",remove_dead_code
24,".github/workflows/health-check.yml",5,yml,"# Run health check every 15 minutes during business hours (9 AM - 6 PM UTC)",remove_dead_code
25,".github/workflows/health-check.yml",96,yml,"# Test authentication status endpoint",test
26,".github/workflows/health-check.yml",108,yml,"# Test metrics endpoint (should return 200 or 401/403)",test
27,".github/workflows/health-check.yml",195,yml,"# This would need to be populated based on the matrix results",remove_dead_code
28,".github/workflows/health-check.yml",196,yml,"# For now, we'll just indicate the check completed",remove_dead_code
29,".github/workflows/health-check.yml",209,yml,"## Health Check Failure Report",remove_dead_code
30,"apps/api/Dockerfile",1,dockerfile,"# Multi-stage Dockerfile for NestJS API",remove_dead_code
31,"apps/api/Dockerfile",3,dockerfile,"# Base stage",remove_dead_code
32,"apps/api/Dockerfile",9,dockerfile,"# Dependencies stage",remove_dead_code
33,"apps/api/Dockerfile",16,dockerfile,"# Build stage",remove_dead_code
34,"apps/api/Dockerfile",22,dockerfile,"# Development stage",remove_dead_code
35,"apps/api/Dockerfile",29,dockerfile,"# Production stage",remove_dead_code
36,"apps/api/Dockerfile",33,dockerfile,"# Install production dependencies",remove_dead_code
37,"apps/api/Dockerfile",41,dockerfile,"# Copy built application",remove_dead_code
38,"apps/api/Dockerfile",46,dockerfile,"# Create non-root user",remove_dead_code
39,"apps/api/Dockerfile",50,dockerfile,"# Set ownership",remove_dead_code
40,"apps/api/Dockerfile",54,dockerfile,"# Health check",remove_dead_code
41,"apps/api/Dockerfile",60,dockerfile,"# Production start command",remove_dead_code
42,"apps/api/prisma/seed.ts",9,ts,"// Create initial badges",remove_dead_code
43,"apps/api/prisma/seed.ts",86,ts,"// Create initial skills",remove_dead_code
44,"apps/api/prisma/seed.ts",135,ts,"// Create sample learning paths",remove_dead_code
45,"apps/api/prisma/seed.ts",173,ts,"// Create sample lessons",remove_dead_code
46,"apps/api/prisma/seed.ts",257,ts,"// Create sample templates",remove_dead_code
47,"apps/api/prisma/seed.ts",381,ts,"// Create a system user for official templates",remove_dead_code
48,"apps/api/prisma/seed.ts",407,ts,"// Create sample challenges",remove_dead_code
49,"apps/api/prisma/seed.ts",470,ts,"// Create demo user (optional - for development)",remove_dead_code
50,"apps/api/prisma/seed.ts",522,ts,"// Award some badges to demo user",remove_dead_code
